ID列	地域ID指定列	音素列	かな列	IPA列	訳列	系統列	意味領域列	品詞列	アクセント型列	音節構造列	語幹列	備考列	音声ファイル列	画像ファイル列	動画列	活用列	標準語ひらがな列	例文指定列	更新列	例文列	例文訳列
795	1	mujee	むいぇー	mujeː	無尽講	沖縄語	その他	名詞	不明	CV.CVV			mujee.wav				むじんこう		20220418		
796	1	musui	むすい	musui	結び	沖縄語	その他	名詞	不明	CV.CV.V			musui.wav				むすび		20220418		
797	1	tamasi	たまし	tamaɕi	分	沖縄語	その他	名詞	不明	CV.CV.CV			tamasi.wav				ぶん		20220418		
798	1	watamugei	わたむげい	watamugei	胸やけ	沖縄語	その他	名詞	不明	CV.CV.CV.CV.V			watamugei.wav				むなやけ		20220418		
799	1	niimugei	にーむげい	niːmugei	胸やけ	沖縄語	その他	名詞	不明	CVV.CV.CV.V			niimugei.wav				むなやけ		20220418		
800	1	munuutu	むぬうとぅ	munuːtu	物音	沖縄語	その他	名詞	不明	CV.CVV.CV			munuutu.wav				ものおと		20220418		
801	1	akisimi	あきしみ	akiɕimi	開け閉め	沖縄語	その他	名詞	不明	V.CV.CV.CV			akisimi.wav				あけしめ		20220418		
802	1	agisagi	あぎさぎ	agisagi	上げ下げ	沖縄語	その他	名詞	不明	V.CV.CV.CV			agisagi.wav				あげさげ		20220418		
803	1	zama	ざま	zama	ありさま、ありよう	沖縄語	その他	名詞	不明	CV.CV			zama.wav				ありさま、ありよう		20220418		
804	1	kaaki	かーき	kaːki	賭け	沖縄語	その他	名詞	不明	CVV.CV			kaaki.wav				かけ		20220418		
805	1	sazimigwaa	さじみぐぁー	saʥimigwaː	肩車	沖縄語	その他	名詞	不明	CV.CV.CV.CVV			sazimigwaa.wav				かたぐるま		20220418		
806	1	činasičii	ちなしちー	ʨinaɕiʨiː	綱引き	沖縄語	その他	名詞	不明	CV.CV.CV.CVV			cinasicii.wav				つなひき		20220418		
807	1	asiutu	あしうとぅ	aɕiutu	足音	沖縄語	その他	名詞	不明	V.CV.V.CV			asiutu.wav				あしおと		20220418		
808	1	saautu	さーうとぅ	saautu	足音	沖縄語	その他	名詞	不明	CVV.V.CV			saautu.wav				あしおと		20220418		
809	1	gaman	がまん	gamaɴ	我慢	沖縄語	その他	名詞	不明	CV.CVC			gamansun.wav				がまん		20220418		
810	1	junumu[n	ゆぬむ[ん	junumu[n	同じ	沖縄語	その他	名詞	b	CV.CV.CVC			junumun.wav				おなじ		20220418		
811	1	[čikee	[ちけー	[ʨikeː	さしつかえ	沖縄語	その他	名詞	不明	CV.CV.CVVC		1	cikee.wav				さしつかえ		20220418		
812	1	ugami	うがみ	ugami	上がり	沖縄語	その他	名詞	不明	V.CV.CV			ugami.wav				あがり		20220418		
813	1	aiko	あいこ	aiko	蟻	沖縄語	虫	名詞	不明	V.V.CV			aiko.wav				あり	813	20220418	aiko mandon	
814	1	gaza[mi	がじゃ[み	gaʑa[mi	蚊	沖縄語	虫	名詞	c	CV.CV.CV~CV.CVC			gazami.wav				か	814	20220418	gazami uin	
815	1	gaza[n	がじゃん	gaʑa[n	蚊	沖縄語	虫	名詞	c	CV.CVC			gazan.wav				か	815	20220418		
816	1	haberu	はべる	habeɾu	蝶々	沖縄語	虫	名詞	a	CV.CV.CV			haberu.wav				ちょうちょ	816	20220418	haberunu un	
817	1	[čin]da[mi	ちんだ[み	[ʨin]da[mi	かたつむり	沖縄語	虫	名詞	c	CVC.CV.CV			cindami.wav				かたつむり	817	20220418	čindami turee	
818	1	ata]bi[ča	あたびちゃ	ata]bi[ʨa	蛙	沖縄語	虫	名詞	c?	V.CV.CV.CV			atabica.wav				かえる	818	20220418	atabiča čikadan	
819	1	[fačči]	[ふゎっち	[ɸʷatʨi]	蜂	沖縄語	虫	名詞	a	CVC.CV			facci.wav				ばち		20220418	fwaččike iraritan	
820	1	[fee]	[ふぇー	[ɸeː]	蝿	沖縄語	虫	名詞	a	CVV			feemosquito.wav				はえ	820	20220418	fee mandon	
821	1	uzii	うじー	uʑiː	蛆	沖縄語	虫	名詞	b	V.CVV			uzii.wav				うじ	821	20220418	uzi wačoon	
822	1	[nuu][mi	ぬー[み	[nuː][mi	蚤	沖縄語	虫	名詞	c	CVV.CV			nuumi.wav				のみ	822	20220418	nuumi un	
823	1	miminza	みみんじゃ	miminʥa	蚯蚓	沖縄語	虫	名詞	不明	CV.CVC.CV			miminza.wav				みみず		20220418		
824	1	[saa][mi	さー[み	[saː][mi	虱	沖縄語	虫	名詞	c	CVV.CV			saami.wav				しらみ		20220418		
825	1	nkazaa	んかざー	nkazaː	百足	沖縄語	虫	名詞	不明	CCV.CVV			nkazaa.wav				むかで	825	20220418	nkazaanu un	
826	1	[ka]ki[zuu	かき[ずー	[ka]ki[zuː	蜻蛉	沖縄語	虫	名詞	不明	CV.CV.CVV			kakizuu.wav				とんぼ		20220418		
827	1	gaa[ta	がー[た	gaː[ta	飛蝗	沖縄語	虫	名詞	c	CVV.CV			gaata.wav				ばった		20220418		
828	1	asa[sa	あさ[さ	asa[sa	蝉	沖縄語	虫	名詞	c	V.CV.CV			asasa.wav				ぜみ		20220418		
829	1	tanbee	たんべー	tambeː	虻	沖縄語	虫	名詞	不明	CVC.CVV			tambee.wav				あぶ		20220418		
830	1	oobee	おーべー	oːbeː	青蠅	沖縄語	虫	名詞	不明	VV.CVV			oobee.wav				あおばえ	830	20220418	gaata čikadan	
831	1	asasaa	あささー	asasaː	おおしまぜみ	沖縄語	虫	名詞	不明	V.CV.CVV			asasaa.wav				おおしまぜみ	831	20220418	asasanu načun	
832	1	hanzamaki	はんざまき	hanzamaki	七節虫	沖縄語	虫	名詞	不明	CVC.CV.CV.CV			hanzamakii.wav				ななふしむし	832	20220418	tuinu načun	
833	1	tootonbo ?	とーとんぼ	toːtombo ?	ぎんやんま	沖縄語	虫	名詞	不明	CVV.CVC.CV			totonbo.wav				ぎんやんま		20220418		
834	1	saami	さーみ	saːmi	毛じらみ	沖縄語	虫	名詞	不明	CVV.CV			saami.wav				けじらみ		20220418		
835	1	ziiwa	じーわ	ziːwa	くろいわにいにいぜみ	沖縄語	虫	名詞	不明	CVV.CV			ziiwa.wav				くろいわにいにいぜみ		20220418		
836	1	mačimusii	まちむしー	maʨimuɕiː	松虫	沖縄語	虫	名詞	不明	CV.CV.CV.CVV			macimusii.wav				まつむし		20220418		
837	1	seegatta	せーがった	seːgatta	せすじつちいなご	沖縄語	虫	名詞	不明	CVV.CVC.CV			seegatta.wav				せすじつちいなご		20220418		
838	1	hii[ra	ひー[ら	hiːɾa	ゴキブリ	沖縄語	虫	名詞	不明	CVV.CV			hiira.wav				ゴキブリ		20220418		
839	1	dani	だに	dani	だに	沖縄語	虫	名詞	不明	CV.CV			dani.wav				だに		20220418		
840	1	[tui]	[とぅい	[tui]	鳥	沖縄語	鳥	名詞	a	CV.V			tui.wav				どり		20220418		
841	1	čoččoro[o	ちょっちょろ[ー	ʨotʨoɾo[ː	雀	沖縄語	鳥	名詞	b	CVC.CV.CVV			coccoroo.wav				すずめ	841	20220418	čoččoroonu načun	
842	1	fuutu	ふとぅ	ɸuː[tu	鳩	沖縄語	鳥	名詞	c	CVV.CV			fuutu.wav				ばと		20220418		
843	1	gara[saa	がらさ[ー	gaɾa[saː	カラス	沖縄語	鳥	名詞	c	CV.CV.CVV			garasaa.wav				カラス	843	20220418	garasaanu načun	
844	1	juugarasaa	ゆーがらさー	juːgaɾa[saː	カラス	沖縄語	鳥	名詞	不明	CVV.CV.CV.CVV			juugarasaa.wav				カラス		20220418		
845	1	mikkwanzo[ro	みっくゎんじょろ	mikkwanʑo[ɾo	うずら	沖縄語	鳥	名詞	b	CVC.CCVC.CV.CV			mikkwanzoro.wav				うずら	845	20220418	mikwanzoroonu fwain	
846	1	čonpii	ちょんぴー	ʨompiː	鷹	沖縄語	鳥	名詞	不明	CVC.CVV			compii.wav				たか	846	20220418	čompiinu načun	
847	1	tama][gu	たま[ぐ	tama][gu	卵	沖縄語	鳥	名詞	c	CV.CV.CV			tamagu.wav				たまご		20220418		
848	1	fuu[ga	ふー[が	ɸuː[ga	卵	沖縄語	鳥	名詞	c	CVV.CV			fuuga.wav				たまご	848	20220418	fuuga kamumi	
849	1	si[i	し[ー	ɕi[ː	巣	沖縄語	鳥	名詞	b	CVV			sii.wav				す		20220418		
850	1	[fani	[ふゎに	[ɸʷani	羽	沖縄語	鳥	名詞	a	CV.CV			fani.wav				はね		20220418		
851	1	fuutu	ふーとぅ	ɸuːtu	アオバト	沖縄語	鳥	名詞	不明	CVV.CV			fuutu.wav				あおばと		20220418		
852	1	[saa]zei	[さー]ぜい	saː]zei	サギ	沖縄語	鳥	名詞	a	CVV.CV.V			saazei.wav				さぎ		20220418		
853	1	čizujaa	ちずやー	ʨizujaː	チドリ	沖縄語	鳥	名詞	不明	CV.CV.CVV			cizujaa.wav				ちどり		20220418		
854	1	hamačizujaa	はまちずやー	hamaʨizujaː	ハマチドリ	沖縄語	鳥	名詞	不明	CV.CV.CV.CV.CVV			hamacizujaa.wav				はまちどり		20220418		
855	1	činčinaa	ちんちなー	ʨinʨinaː	ヒバリ	沖縄語	鳥	名詞	不明	CVC.CV.CVV			cincinaa.wav				ひばり		20220418		
856	1	čonpii	ちょんぴー	ʨompiː	サシバ	沖縄語	鳥	名詞	不明	CVC.CVV			compii.wav				さしば		20220418		
857	1	ahiraa	あひらー	ahiɾaː	アヒル	沖縄語	鳥	名詞	不明	V.CV.CVV			ahiraa.wav				あひる		20220418		
858	1	hansaa	はんさー	hansaː	ヒヨドリ	沖縄語	鳥	名詞	不明	CVC.CVV			hansaa.wav				ひよどり		20220418		
859	1	kansaa	かんさー	kansaː	ヒヨドリ	沖縄語	鳥	名詞	不明	CVC.CVV			kansaa.wav				ひよどり		20220418		
860	1	kumeraa	くめらー	kumeɾaː	クイナ	沖縄語	鳥	名詞	不明	CV.CV.CVV			kumeraa.wav				くいな		20220418		
861	1	uumidui	うーみでぅい	uːmidui	ウミトリ	沖縄語	鳥	名詞	不明	VV.CV.CV.V			uumidui.wav				うみどり		20220418		
862	1	tii][či	[てぃー][ち	tiː][ʨi	一つ	沖縄語	数詞	名詞	c	CVV.CV			tiici.wav				ひとつ		20220418		
863	1	taači	たーち	taːʨi	二つ	沖縄語	数詞	名詞	不明	CVV.CV			taaci.wav				ふたつ		20220418		
864	1	[mii]či	[みーち	[miː]ʨi	三つ	沖縄語	数詞	名詞	a	CVV.CV			miici.wav				みっつ		20220418		
865	1	[juu]či	[ゆーち	[juː]ʨi	四つ	沖縄語	数詞	名詞	a	CVV.CV			juuci.wav				よっつ		20220418		
866	1	ičiči[i	いちち[ー	iʨiʨi[i	五つ	沖縄語	数詞	名詞	b?	V.CV.CVV			icici.wav				いつつ		20220418		
867	1	[muu]či	[むー][ち	[muː]ʨi	六つ	沖縄語	数詞	名詞	a	CVV.CV			muuci.wav				むっつ		20220418		
868	1	nanači[i	ななち[ー	nanaʨi[ː	七つ	沖縄語	数詞	名詞	b?	CV.CV.CVV			nanacii.wav				ななつ		20220418		
869	1	jaa]či	やー][ち	jaː]ʨi	八つ	沖縄語	数詞	名詞	a	CVV.CV			jaaci.wav				やっつ		20220418		
870	1	kukunu][či	くくぬ][ち	kukunu][ʨi	九つ	沖縄語	数詞	名詞	c?	CV.CV.CV.CV			kukunuci.wav				ここのつ		20220418		
871	1	[tuu	[とぅー	[tuː	十	沖縄語	数詞	名詞	a	CVV			tuu.wav						20220418		
872	1	čuu[i	ちゅー[い	ʨuː[i	一人	沖縄語	数詞	名詞	c?	CVV.V			cuui.wav				ひとり		20220418		
873	1	[tai]	[たい]	[tai]	二人	沖縄語	数詞	名詞	a	CV.V			tai.wav				ふたり		20220418		
874	1	[mič]čai	[みっ]ちゃい	[mit]ʨai	三人	沖縄語	数詞	名詞	a	CVC.CV.V			miccai.wav				にん		20220418		
875	1	[juttai	[ゆったい	[juttai	四人	沖縄語	数詞	名詞	a	CVC.CV.V			juttai.wav				にん		20220418		
876	1	[gunin	[ぐにん	[guniɴ	五人	沖縄語	数詞	名詞	a	CV.CVC			gunin.wav				にん		20220418		
877	1	rukuni[n	るくに[ん	ɾukuni[ɴ	六人	沖縄語	数詞	名詞	不明	CV.CV.CVC			rukunin.wav				にん		20220418		
878	1	[siči]ni[n	[しち]に[ん	[ɕiʨi]ni[ɴ	七人	沖縄語	数詞	名詞	不明	CV.CV.CVC			sicinin.wav				にん		20220418		
879	1	[hačinin	[はちにん	[haʨiniɴ	八人	沖縄語	数詞	名詞	不明	CV.CV.CVC			hacinin.wav				にん		20220418		
880	1	[ku]nin	[く]にん	[ku]niɴ	九人	沖縄語	数詞	名詞	不明	CV.CVC			kunin.wav				にん		20220418		
881	1	zuuni[n	じゅーに[ん	ʥuːni[ɴ	十人	沖縄語	数詞	名詞	不明	CV.CVC			zuunin.wav				にん		20220418		
TY884	1	jamatuu	やまとぅー	jamatuː	日本	沖縄語	地名	名詞	不明	CV.CV.CVV									20220418		
TY885	1	rjuučuu	りゅーちゅー	ɾjuːʨuː	琉球	沖縄語	地名	名詞	A?	CCVV.CVV									20220418		
TY886	1	amamii	あまみー	amamiː	奄美	沖縄語	地名	名詞	B	V.CV.CVV									20220418		
TY887	1	učinaa	うちなー	uʨinaː	沖縄	沖縄語	地名	名詞	B	V.CV.CVV									20220418		
TY888	1	naaku	なーく	naːku	宮古	沖縄語	地名	名詞	C	CVV.CV									20220418		
TY889	1	jeemaa	いぇーまー	jeːmaː	八重山	沖縄語	地名	名詞	B	CVV.CVV									20220418		
TY890	1	junnu	ゆんぬ	junnu	与論	沖縄語	地名	名詞	C	CVC.CV									20220418		
TY891	1	kunzan	くんじゃん	kunʥan	国頭	沖縄語	地名	名詞	B?	CVC.CVC									20220418		
TY892	1	iizimaa	いーじまー	iːʥimaː	伊江	沖縄語	地名	名詞	不明	VV.CV.CVV									20220418		
TY893	1	meezii	めーじー	meːʥiː	伊是名	沖縄語	地名	名詞	不明	CVV.CVV									20220418		
TY894	1	kusizii	くしじー	kuɕiziː	伊平屋	沖縄語	地名	名詞	不明	CV.CV.CVV V.CCVV									20220418		
TY895	1	ihjaa	いひゃー	 ihjaː	伊平屋	沖縄語	地名	名詞	不明										20220418		
TY896	1	dana	だな	dana	田名	沖縄語	地名	名詞	不明	CV.CV									20220418		
TY897	1	ganza	がんじゃ	ganʥa	我喜屋	沖縄語	地名	名詞	不明	CVC.CV									20220418		
TY898	1	gaaza	がーじゃ	gaːʥa	我喜屋	沖縄語	地名	名詞	不明	CVV.CV									20220418		
TY899	1	meedumai	めーどぅまい	meːdumai	前泊	沖縄語	地名	名詞	不明	CVV.CV.CV.V									20220418		
TY900	1	simazirii	しまじりー	ɕimaziriː	島尻	沖縄語	地名	名詞	不明	CV.CV.CV.CVV									20220418		
TY901	1	nuufu	ぬーふ	nuːɸu	野甫	沖縄語	地名	名詞	不明	CVV.CV									20220418		
TY902	1	načizin	なちじん	naʨizin	今帰仁	沖縄語	地名	名詞	不明	CV.CV.CVC									20220418		
TY903	1	nagu	なぐ	nagu	名護	沖縄語	地名	名詞	不明	CV.CV									20220418		
TY904	1	mutubuu	むとぅぶー	mutubuː	本部	沖縄語	地名	名詞	不明	CV.CV.CVV									20220418		
TY905	1	naafa	なーふぁ	naːɸa	那覇	沖縄語	地名	名詞	不明	CVV.CV									20220418		
TY906	1	ičiman	いちまん	iʨiman	糸満	沖縄語	地名	名詞	不明	V.CV.CVC									20220418		
TY907	1	kumeezimaa	くめーじまー	kumeːʥimaː	久米島	沖縄語	地名	名詞	不明	CV.CVV.CV.CVV									20220418		
TY908	1	koori	こーり	koːɾi	古宇利島	沖縄語	地名	名詞	不明	CVV.CV									20220418		
TY909	1	siiku	しーく	ɕiːku	瀬底島	沖縄語	地名	名詞	不明	CVV.CV									20220418		
TY910	1	kumajaa	くまやー	kumajaː	くまやー	沖縄語	地名	名詞	不明	CV.CV.CVV									20220418		
TY911	1	isikawa	いしかわ	iɕikawa	石川	沖縄語	地名	名詞	不明	CV.CV.CV.CV									20220418		
909	1	gutee	ぐてー	guteː	～ように	沖縄語	その他	名詞	不明	CV.CVV			gutee.wav				～ように		20220418		
910	1	baa	ばー	baː	～わけ	沖縄語	その他	名詞	不明	CVV			baa.wav				～わけ		20220418		
911	1	ba	ば	ba	～とき	沖縄語	その他	名詞	不明	CV			ba.wav				～とき		20220418		
912	1	mun	むん	muɴ	その他	沖縄語	その他	名詞	不明	CVC			mun.wav				そのた		20220418		
913	1	mee	めー	meː	ところ	沖縄語	その他	名詞	不明	CVV			mee.wav				ところ		20220418		
914	1	mee	めー	meː	前	沖縄語	その他	名詞	不明	CVV			mee.wav				ぜん		20220418		
915	1	čimui	ちむい	ʨimui	つもり	沖縄語	その他	名詞	不明	CV.CV.V			cimui.wav				つもり		20220418		
TY918	1	saʨijama	さきやま	saʨijama	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CV									20220418		
TY919	1	ɕineijaa	しねいや	ɕineija	NA	沖縄語	屋号	名詞	不明	CV.CV.V.CVV									20220418		
TY920	1	ziččafuujaa	じっちゃふーや	ʥiʨʨaɸuːja	NA	沖縄語	屋号	名詞	不明	CVC.CV.CVV.CVV									20220418		
TY921	1	ufunzajaa	うふんじゃや	uɸunʥaja	NA	沖縄語	屋号	名詞	不明	V.CVC.CV.CVV									20220418		
TY922	1	hizanoarakačija	ひじゃのあらかちや	čiʥanoaɾakaʨija	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.V.CV.CV.CV.CV									20220418		
TY923	1	iibarujaa	いーばるや	iːbaɾuja	NA	沖縄語	屋号	名詞	不明	VV.CV.CV.CVV									20220418		
TY924	1	togučijaa	とぐちや	toguʨija	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CVV									20220418		
TY925	1	teeraajaa	てーらーや	teːɾaːja	NA	沖縄語	屋号	名詞	不明	CVV.CVV.CVV									20220418		
TY926	1	uusimajaa	うーしまや	uːɕimaja	NA	沖縄語	屋号	名詞	不明	VV.CV.CV.CVV									20220418		
TY927	1	tokuhojanbarujaa	とくほやんばるや	tokuhojambaɾuja	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CVC.CV.CV.CVV									20220418		
TY928	1	ufutogučijaa	うふとぐちや	uɸutoguʨija	NA	沖縄語	屋号	名詞	不明	V.CV.CV.CV.CV.CVV									20220418		
TY929	1	kunsinutaari	くんしぬたーり	kunɕinutaːɾi	NA	沖縄語	屋号	名詞	不明	CVC.CV.CV.CVV.CV									20220418		
TY930	1	hizanusatajaa	ひざぬさたやー	čizanusatajaː	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CV.CV.CVV									20220418		
TY931	1	ziičijakujaa	じーちやくや	ziːʨijakuja	NA	沖縄語	屋号	名詞	不明	CVV.CV.CV.CV.CVV									20220418		
TY932	1	tonujaa	とぬや	tonuja	NA	沖縄語	屋号	名詞	不明	CV.CV.CVV									20220418		
TY933	1	kangusukujaa	かんぐすくや	kaŋgusukuja	NA	沖縄語	屋号	名詞	不明	CVC.CV.CV.CV.CVV									20220418		
TY934	1	kantabeečinjaa	かんたべーちんや	kantabeːʨinja	NA	沖縄語	屋号	名詞	不明	CVC.CV.CVV.CVC.CVV									20220418		
TY935	1	kaakamijaa	かーかみや	kaːkamija	NA	沖縄語	屋号	名詞	不明	CVV.CV.CV.CVV									20220418		
TY936	1	kasinjaa	かしんや	kaɕinja	NA	沖縄語	屋号	名詞	不明	CV.CVC.CVV									20220418		
TY937	1	ginuzajaa	ぎぬざや	ginuzaja	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CVV									20220418		
TY938	1	nisinuarakačijaa	にしぬあらかちや	niɕinuaɾakaʨija	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.V.CV.CV.CV.CVV									20220418		
TY939	1	kačinahanajaa	かちなはなや	kaʨinahanaja	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CV.CV.CVV									20220418		
TY940	1	mooguwaajaa	もーぐわーや	moːguwaːja	NA	沖縄語	屋号	名詞	不明	CVV.CV.CVV.CVV									20220418		
TY941	1	mijaguwa	みやぐわ	mijaguwa	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CV									20220418		
TY942	1	magainukakamijaa	まがいぬかかみや	magainukakamija	NA	沖縄語	屋号	名詞	不明	CV.CV.V.CV.CV.CV.CV.CVV									20220418		
TY943	1	gaazajaa	がーざや	gaːzaja	NA	沖縄語	屋号	名詞	不明	CVV.CV.CVV									20220418		
TY944	1	tuunziujaa	とぅーんじうや	tuːnʥiuja	NA	沖縄語	屋号	名詞	不明	CVVC.CV.V.CV									20220418		
TY945	1	seiičijaa	せいーちや	seiːʨija	NA	沖縄語	屋号	名詞	不明	CV.VV.CV.CVV									20220418		
TY946	1	hizabeečingwaa	ひざべーちんぐぁ	čizabeːʨingwa	NA	沖縄語	屋号	名詞	不明	CV.CV.CVV.CVC.CVV									20220418		
TY947	1	hizajaa	ひざや	čizaja	NA	沖縄語	屋号	名詞	不明	CV.CV.CVV									20220418		
TY948	1	nagana	ながな	nagana	NA	沖縄語	屋号	名詞	不明	CV.CV.CV									20220418		
TY949	1	arakača	あらかちゃ	aɾakaʨa	NA	沖縄語	屋号	名詞	不明	V.CV.CV.CV									20220418		
TY950	1	takusigwa	たくしぐぁ	takuɕigwa	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CV									20220418		
TY951	1	hanasičijaa	はなしちや	hanaɕiʨija	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CV.CVV									20220418		
TY952	1	hizagorojaa	ひざごろや	hizagoɾoja	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CV.CVV									20220418		
TY953	1	ufunzujaa	うふんずや	uɸunzuja	NA	沖縄語	屋号	名詞	不明	V.CVC.CV.CVV									20220418		
TY954	1	jonamijaa	よなみや	jonamija	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CVV									20220418		
TY955	1	omomi	おもみ	omomi	NA	沖縄語	屋号	名詞	不明	V.CV.CV									20220418		
TY956	1	hizajaa	ひざや	čizaja	NA	沖縄語	屋号	名詞	不明	CV.CV.CVV									20220418		
TY957	1	jonahagwaa	よなはぐぁ	jonahagwa	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CVV									20220418		
TY958	1	funiojaa	ふにおや	funioja	NA	沖縄語	屋号	名詞	不明	CV.CV.V.CVV									20220418		
TY959	1	nisineheeku	にしねへーく	niɕineheːku	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CVV.CV									20220418		
TY960	1	terusino	てるしの	teɾuɕino	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CV									20220418		
TY961	1	čoziijaa	ちょじーや	ʨoziːja	NA	沖縄語	屋号	名詞	不明	CV.CVV.CVV									20220418		
TY962	1	koozunjaa	こーずんや	koːzunja	NA	沖縄語	屋号	名詞	不明	CVV.CVC.CVV									20220418		
TY963	1	seiičijaa	せいーいちや	seiːʨija	NA	沖縄語	屋号	名詞	不明	CV.VV.CV.CVV									20220418		
TY964	1	sigemačujaa	しげまつや	ɕigematsuja	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CV.CVV									20220418		
TY965	1	onga	おんが	oŋga	NA	沖縄語	屋号	名詞	不明	VC.CV									20220418		
TY966	1	morinobujaa	もりのぶや	moɾinobuja	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CV.CVV									20220418		
TY967	1	hizaunna	ひざうんな	hizaunna	NA	沖縄語	屋号	名詞	不明	CV.CV.VC.CV									20220418		
TY968	1	hirata	ひらた	hiɾata	NA	沖縄語	屋号	名詞	不明	CV.CV.CV									20220418		
TY969	1	jonahagwaa	よなはぐぁ	jonahagwa	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CVV									20220418		
TY970	1	norijukijaa	のりゆきや	noɾijukija	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CV.CVV									20220418		
TY971	1	sunuheeku	すぬへーく	sunuheːku	NA	沖縄語	屋号	名詞	不明	CV.CV.CVV.CV									20220418		
TY972	1	morikičijaa	もりきちや	moɾikiʨija	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CV.CVV									20220418		
TY973	1	sisibeečin	ししべーちん	ɕiɕibeːʨiɴ	NA	沖縄語	屋号	名詞	不明	CV.CV.CVV.CVC									20220418		
TY974	1	sisibeečingwaa	ししべーちんぐぁー	ɕiɕibeːʨiŋgwaː	NA	沖縄語	屋号	名詞	不明	CV.CV.CVV.CVC.CVV									20220418		
TY975	1	jonahagiin	よなはぎーん	jonahagiːɴ	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CVVC									20220418		
TY976	1	seičojaa	せいちょや	seiʨoja	NA	沖縄語	屋号	名詞	不明	CV.V.CV.CVV									20220418		
TY977	1	iribečingwaa	いりべちんぐぁー	iɾibeʨiŋgwaː	NA	沖縄語	屋号	名詞	不明	V.CV.CV.CVC.CVV									20220418		
TY978	1	agarinuiribeečingwa	あがりぬいりべーちんぐぁ	agaɾinuiɾibeːʨiŋgwa	NA	沖縄語	屋号	名詞	不明	V.CV.CV.CV.V.CV.CVV.CVC.CCV									20220418		
TY979	1	irisiki	いりしき	iɾiɕiki	NA	沖縄語	屋号	名詞	不明	V.CV.CV.CV									20220418		
TY980	1	takusigwaa	たくしぐぁ	takuɕigwa	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CVV									20220418		
TY981	1	koobunjaa	こーぶんや	koːbunja	NA	沖縄語	屋号	名詞	不明	CVV.CVC.CVV									20220418		
TY982	1	morikičijaa	もりきちや	moɾikiʨija	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CV.CVV									20220418		
TY983	1	sankičijaa	さんきちや	saŋkiʨija	NA	沖縄語	屋号	名詞	不明	CVC.CV.CV.CVV.CV									20220418		
TY984	1	čijojaa	ちよや	ʨijoja	NA	沖縄語	屋号	名詞	不明	CV.CV.CVV									20220418		
TY985	1	zoosinjaa	ぞーしんや	zoːɕinja	NA	沖縄語	屋号	名詞	不明	CVV.CVC.CVV									20220418		
TY986	1	hizaunnagwaa	ひざうんなぐぁ	hizaunnagwa	NA	沖縄語	屋号	名詞	不明	CV.CV.VC.CV.CV									20220418		
TY987	1	kogajaa	こがや	kogaja	NA	沖縄語	屋号	名詞	不明	CV.CV.CVV									20220418		
TY988	1	simasiriheeku	しましりへーく	ɕimaɕiɾiheːku	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CV.CVV.CV									20220418		
TY989	1	jonamijankwaa	よなみやんくぁー	jonamijaŋkwaː	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CVC.CVV									20220418		
TY990	1	iizataa	いーざたー	iːzataː	NA	沖縄語	屋号	名詞	不明	VV.CV.CVV									20220418		
TY991	1	eizanjaa	えいざんや	eizanja	NA	沖縄語	屋号	名詞	不明	V.V.CVC.CVV									20220418		
TY992	1	samudajaa	さむだや	samudaja	NA	沖縄語	屋号	名詞	不明	CV.CV.CV.CVV									20220418		
TY993	1	asataa	あさたー	asataa	NA	沖縄語	屋号	名詞	不明	V.CV.CVV									20220418		
TY994	1	irimasuzijaa	いりますじや	iɾimasuʥija	NA	沖縄語	屋号	名詞	不明	V.CV.CV.CV.CV.CVV									20220418		
TY995	1	taruraa	たるらー	taɾuɾaː	NA	沖縄語	屋号	名詞	不明	CV.CV.CVV									20220418		
TY996	1	kunzagiin	くんざぎーん	kunzagiːɴ	NA	沖縄語	屋号	名詞	不明	CVC.CV.CVVC									20220418		
TY997	1	heisinja	へいしんや	heiɕinja	NA	沖縄語	屋号	名詞	不明	CV.V.CVC.CV									20220418		
TY998	1	juunaja	ゆーなや	juːnaja	NA	沖縄語	屋号	名詞	不明	CVV.CV.CV									20220418		
